Municipios;Tipo de vivienda;Total
41003  Albaida del Aljarafe;2 Total viviendas familiares;1.264
41003  Albaida del Aljarafe;2.1 Total viviendas principales;1.113
46007  Albal;2 Total viviendas familiares;7.309
46007  Albal;2.1 Total viviendas principales;5.835
10007  Albalá;2 Total viviendas familiares;869
10007  Albalá;2.1 Total viviendas principales;344
13004  Albaladejo;2 Total viviendas familiares;1.051
13004  Albaladejo;2.1 Total viviendas principales;606
16004  Albaladejo del Cuende;2 Total viviendas familiares;301
16004  Albaladejo del Cuende;2.1 Total viviendas principales;153
46008  Albalat de la Ribera;2 Total viviendas familiares;2.092
46008  Albalat de la Ribera;2.1 Total viviendas principales;1.425
46009  Albalat dels Sorells;2 Total viviendas familiares;1.885
46009  Albalat dels Sorells;2.1 Total viviendas principales;1.350
46010  Albalat dels Tarongers;2 Total viviendas familiares;1.865
46010  Albalat dels Tarongers;2.1 Total viviendas principales;479
22007  Albalate de Cinca;2 Total viviendas familiares;599
22007  Albalate de Cinca;2.1 Total viviendas principales;443
16005  Albalate de las Nogueras;2 Total viviendas familiares;394
16005  Albalate de las Nogueras;2.1 Total viviendas principales;131
19006  Albalate de Zorita;2 Total viviendas familiares;1.521
19006  Albalate de Zorita;2.1 Total viviendas principales;506
44008  Albalate del Arzobispo;2 Total viviendas familiares;1.512
44008  Albalate del Arzobispo;2.1 Total viviendas principales;849
22008  Albalatillo;2 Total viviendas familiares;143
22008  Albalatillo;2.1 Total viviendas principales;87
04004  Albánchez;2 Total viviendas familiares;767
04004  Albánchez;2.1 Total viviendas principales;370
23001  Albanchez de Mágina;2 Total viviendas familiares;1.022
23001  Albanchez de Mágina;2.1 Total viviendas principales;529
17003  Albanyà;2 Total viviendas familiares;99
17003  Albanyà;2.1 Total viviendas principales;49
19007  Albares;2 Total viviendas familiares;465
19007  Albares;2.1 Total viviendas principales;224
44009  Albarracín;2 Total viviendas familiares;802
44009  Albarracín;2.1 Total viviendas principales;399
45003  Albarreal de Tajo;2 Total viviendas familiares;364
