Provincias de destino;Procedencia de los viajeros;Meses;Total
Castellón;Total;Febrero;2,38
Castellón;Total;Marzo;2,58
Castellón;Total;Abril;2,46
Castellón;Total;Mayo;2,24
Castellón;Total;Junio;2,42
Castellón;Total;Julio;3,52
Castellón;Total;Agosto;4,91
Castellón;Total;Septiembre;2,67
Castellón;Total;Octubre;2,28
Castellón;Total;Noviembre;2,11
Castellón;Total;Diciembre;2,37
Castellón;Residentes en España;Total;2,61
Castellón;Residentes en España;Enero;2,19
Castellón;Residentes en España;Febrero;2,34
Castellón;Residentes en España;Marzo;2,57
Castellón;Residentes en España;Abril;2,29
Castellón;Residentes en España;Mayo;2,15
Castellón;Residentes en España;Junio;2,24
Castellón;Residentes en España;Julio;2,98
Castellón;Residentes en España;Agosto;4,31
Castellón;Residentes en España;Septiembre;2,51
Castellón;Residentes en España;Octubre;2,11
Castellón;Residentes en España;Noviembre;2,02
Castellón;Residentes en España;Diciembre;2,36
Castellón;No Residentes en España;Total;5,35
Castellón;No Residentes en España;Enero;1,81
Castellón;No Residentes en España;Febrero;3,5
Castellón;No Residentes en España;Marzo;3,02
Castellón;No Residentes en España;Abril;4,03
Castellón;No Residentes en España;Mayo;2,99
Castellón;No Residentes en España;Junio;5,48
Castellón;No Residentes en España;Julio;6,45
Castellón;No Residentes en España;Agosto;8,08
Castellón;No Residentes en España;Septiembre;3,99
Castellón;No Residentes en España;Octubre;3,64
Castellón;No Residentes en España;Noviembre;3,5
Castellón;No Residentes en España;Diciembre;4
Ciudad Real;Total;Total;2,21
Ciudad Real;Total;Enero;2,48
Ciudad Real;Total;Febrero;2,17
Ciudad Real;Total;Marzo;2,64
Ciudad Real;Total;Abril;1,93
Ciudad Real;Total;Mayo;1,89
Ciudad Real;Total;Junio;2,12
Ciudad Real;Total;Julio;2,45
Ciudad Real;Total;Agosto;3,12
Ciudad Real;Total;Septiembre;1,95
Ciudad Real;Total;Octubre;1,68
Ciudad Real;Total;Noviembre;1,76
Ciudad Real;Total;Diciembre;2,17
Ciudad Real;Residentes en España;Total;2,2
Ciudad Real;Residentes en España;Enero;2,14
Ciudad Real;Residentes en España;Febrero;2,15
Ciudad Real;Residentes en España;Marzo;2,65
Ciudad Real;Residentes en España;Abril;1,95
Ciudad Real;Residentes en España;Mayo;1,88
Ciudad Real;Residentes en España;Junio;2,13
Ciudad Real;Residentes en España;Julio;2,47
Ciudad Real;Residentes en España;Agosto;3,17
Ciudad Real;Residentes en España;Septiembre;1,92
Ciudad Real;Residentes en España;Octubre;1,68
Ciudad Real;Residentes en España;Noviembre;1,77
Ciudad Real;Residentes en España;Diciembre;2,19
Ciudad Real;No Residentes en España;Total;2,5
Ciudad Real;No Residentes en España;Enero;14,64
Ciudad Real;No Residentes en España;Febrero;2,68
Ciudad Real;No Residentes en España;Marzo;1,37
Ciudad Real;No Residentes en España;Abril;1,75
Ciudad Real;No Residentes en España;Mayo;2,16
Ciudad Real;No Residentes en España;Junio;1,75
